CharacterName,Class,Lev,StageIdx,PositionX,PositionY
player344,3,1,100002010,-8672.06,3533.78
player345,3,10,101003010,861.561,-2726.73
player346,4,1,101003010,7317.6,-13894.5
player347,4,1,100002010,2888.02,8028.16
player348,3,2,100002010,-5598.14,-2598.44
player349,2,14,101003010,6788.23,-11442.3
player350,2,30,100002010,10330,-6740
player351,1,30,101001010,2130,-4200
player352,4,100,101003010,22382.8,-26772.5
player353,1,100,100002010,8642.61,-10375.4
player354,1,1,100002010,10330,-6740
player355,2,1,100002010,2820,-3750
player356,2,100,201003010,-14413,6206.86
player357,3,30,101003030,884.471,-13367
player358,1,2,100002010,-169.367,-7959.18
player359,1,1,900000000,-8472.26,-13824.6
player360,1,8,101003010,-18049,20435.1
player361,2,13,101003020,-2226.37,3368.85
player362,3,15,100002010,10330,-6740
player363,2,22,101004030,-11800.5,10415.8
player364,3,9,101005010,6600.89,-2629.8
player365,4,11,101001010,-2568.94,3635.27
player366,1,2,100002010,7494.69,9798.3
player367,4,10,101003010,19895,-6982
player368,1,1,100002010,2820,-3750
player369,1,1,100002010,10330,-6740
player370,3,2,100002010,-8418.19,-12799
player371,1,1,100002010,2740.79,907.949
player372,2,3,100002020,-1204.88,-8432.22
player373,2,9,101003010,-16754.5,-12175.9
player374,2,1,100002010,2820,-3750
player375,5,4,100002012,-7400.45,6536.23
player376,3,3,100002010,-6576.09,-11557.8
player377,3,1,100002020,790,-11320
player378,4,1,100002010,-1125.04,-394.175
player379,5,1,100002010,-1153.08,-107.394
player380,5,1,100002010,10330,-6740
player381,4,3,100002010,-5054.76,-10726.6
player382,1,2,100002010,-1469.12,-3527.04
player383,3,1,100002010,7097.77,-10463.4
player384,2,1,100002010,941.342,10877.5
player385,3,2,100002010,-401.684,-662.906
player386,4,6,101003010,-15420.5,20709.3
player387,4,11,101001010,-401.679,1531.89
player388,1,21,101003030,4564.61,-7440.03
player389,3,4,100002010,4056.56,-4114.26
player390,2,2,100002010,-712.036,-2703.7
player391,1,1,100002010,2688.31,6296.93
player392,4,1,100002010,-1810,290
player393,3,4,100002020,-1109.92,-10795.6
player394,4,25,102004010,-13334.8,51.9002
player395,4,3,100002010,148.261,4506.44
player396,1,1,100002010,10330,-6740
player397,5,1,100002010,2820,-3750
player398,5,1,100002010,10330,-6740
player399,1,99,100002010,8906.57,-8875.4
player400,2,33,101003030,812.326,-13273.4
player401,1,50,102004070,8910.36,-1121.44
player402,5,2,100002010,7632.33,9709.97
player403,2,3,100002020,989.605,-11660.1
player404,5,1,100002010,10330,-6740
player405,2,1,100002020,-145.875,-10806.2
player406,2,1,100002010,-1810,290
player407,3,1,100002010,6217.8,-9929.94
player408,5,1,100002010,66.4663,-167.962
player409,1,1,100002010,10330,-6740
player410,2,19,101004020,-8945.8,7030.51
player411,3,1,100002020,555.519,-10432
player412,4,2,100002010,-13163.4,-10660.9
player413,2,2,100002010,-14827.3,-11310
player414,4,4,100002010,5779.85,11799
player415,5,1,100002010,2820,-3750
player416,5,1,100002010,2876.64,8030.97
player417,4,1,100002012,1680.01,-1268.88
player418,4,1,100002020,304.438,-11146.1
player419,4,20,101003010,-2380.28,17786.9
player420,3,90,103003010,7550,-1400
player421,1,90,101003010,-17380.7,20628.4
player422,2,90,101003010,-3117.09,17159.4
player423,3,90,101003010,-1955.96,16384.5
