date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:28	2482/2482	---M--	200	added ('OK')	image/png	etag:%2237ecdd3f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/main/title_diction.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/title_diction.png	(from https://mir2.mironline.co.kr/main)
19:09:40	65810/65810	---M--	200	added ('OK')	image/png	etag:%222346c3f-10112-62143546ac9cf%22	https://upload.mironline.co.kr/sim/09/20240904130843.PNG	C:/Users/johne/Desktop/TestHTTRACK/ddddd/upload.mironline.co.kr/sim/09/20240904130843.png	(from https://mir2.mironline.co.kr/main)
19:09:43	190637/190637	---M--	200	added ('OK')	image/png	etag:%2210cc9a0-2e8ad-62414b8770ed9%22	http://upload.mironline.co.kr/sim/10/20241010094753.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/upload.mironline.co.kr/sim/10/20241010094753.png	(from https://mir2.mironline.co.kr/main)
19:09:47	2247/2247	---M--	200	added ('OK')	image/gif	etag:%22b4a212d4f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_search.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_search.gif	(from https://mir2.mironline.co.kr/main)
19:09:48	3099/3099	---M--	200	added ('OK')	image/png	etag:%22ee57c6d3f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/main/title_ranking.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/title_ranking.png	(from https://mir2.mironline.co.kr/main)
19:09:50	9791/9791	---M--	200	added ('OK')	image/gif	etag:%224b8e1ed4f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_charge.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_charge.gif	(from https://mir2.mironline.co.kr/main)
19:09:52	9842/9842	---M--	200	added ('OK')	image/gif	etag:%22195423d4f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_aq.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_aq.gif	(from https://mir2.mironline.co.kr/main)
19:09:54	1707/1707	---M--	200	added ('OK')	image/gif	etag:%22b0ca19d4f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_junior.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_junior.gif	(from https://mir2.mironline.co.kr/main)
19:09:55	1744/1744	---M--	200	added ('OK')	image/gif	etag:%22d1dedd4f6dad41:0%22	https://web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_senior.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/btn_senior.gif	(from https://mir2.mironline.co.kr/main)
19:09:57	64/64	---M--	200	added ('OK')	image/gif	etag:%2236716d7bf6dad41:0%22	http://web-cdn.mironline.co.kr/gnb/images/layer/btn/glayer_today_bg.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/gnb/images/layer/btn/glayer_today_bg.gif	(from https://mir2.mironline.co.kr/main)
19:10:01	249839/249839	---M--	200	added ('OK')	image/png	etag:%2210cc722-3cfef-6214ccd0be5fd%22	https://upload.mironline.co.kr/sim/09/20240905002641.PNG	C:/Users/johne/Desktop/TestHTTRACK/ddddd/upload.mironline.co.kr/sim/09/20240905002641.png	(from https://mir2.mironline.co.kr/main)
19:10:02	354547/354547	---M--	200	added ('OK')	image/png	etag:%2210c67dd-568f3-5ce31778f3eda%22	http://upload.mironline.co.kr/sim/10/20211013095858.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/upload.mironline.co.kr/sim/10/20211013095858.png	(from https://mir2.mironline.co.kr/main)
19:10:02	169560/169560	---M--	200	added ('OK')	image/png	etag:%2210cc71a-29658-621446563df82%22	https://upload.mironline.co.kr/sim/09/20240904142502.PNG	C:/Users/johne/Desktop/TestHTTRACK/ddddd/upload.mironline.co.kr/sim/09/20240904142502.png	(from https://mir2.mironline.co.kr/main)
19:10:02	1464/1464	---M--	404	error ('Not%20Found')	text/html	etag:W/%221464-1713315426000%22	https://mir2.mironline.co.kr/_on.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/_on.2b.delayed	(from https://mir2.mironline.co.kr/main)
19:10:03	6099/6099	---M--	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2018:10:02%20GMT	https://mir2.mironline.co.kr/event/20210127	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/event/20210127.html	(from https://mir2.mironline.co.kr/main)
19:10:03	17292/17292	---M--	200	added ('OK')	text/javascript	etag:W/%2217292-1720495722000%22	https://mir2.mironline.co.kr/sitelib/onestop/common_footer_yd.js?ver=220323	C:/Users/johne/Desktop/TestHTTRACK/ddddd/mir2.mironline.co.kr/sitelib/onestop/common_footer_yd7b44.js	(from https://mir2.mironline.co.kr/main)
19:10:13	44722/44722	---M--	200	added ('OK')	image/png	etag:%22c171c4c5f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/common/mnavigation.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/common/mnavigation.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:13	628/628	---M--	200	added ('OK')	image/gif	etag:%22efc197c7f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/contents/id_input.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/contents/id_input.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:14	923/923	---M--	200	added ('OK')	image/gif	etag:%22c42f83c6f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/contents/pw_input.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/contents/pw_input.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:15	2391/2391	---M--	200	added ('OK')	image/jpeg	etag:%22685714caf6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/contents/bg_line.jpg	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/contents/bg_line.jpg	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:18	108429/108429	---M--	200	added ('OK')	image/gif	etag:%22e434e8c5f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/common/bg_mir.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/common/bg_mir.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:20	1558/1558	---M--	200	added ('OK')	image/png	etag:%222bb9e7d3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi3.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi3.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:21	4848/4848	---M--	200	added ('OK')	image/png	etag:%225df4e2d3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_paging.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_paging.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:22	1472/1472	---M--	200	added ('OK')	image/gif	etag:%2246b0f129fcdad41:0%22	http://web-cdn.mironline.co.kr/wemade/gate/2012_main/bg_transparent.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/wemade/gate/2012_main/bg_transparent.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:22	944/944	---M--	200	added ('OK')	image/png	etag:%22c27decd3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_more.png	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_more.png	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:23	1877/1877	---M--	200	added ('OK')	image/gif	etag:%222bb9e7d3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi2.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi2.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:24	1429/1429	---M--	200	added ('OK')	image/gif	etag:%22cd6ad9d3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/item_navi_wrap.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/item_navi_wrap.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:25	1136/1136	---M--	200	added ('OK')	image/gif	etag:%22c27decd3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:26	1136/1136	---M--	200	added ('OK')	image/gif	etag:%225df4e2d3f6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi_on.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/main/ic_navi_on.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
19:10:27	101/101	---M--	200	added ('OK')	image/gif	etag:%224b1e19caf6dad41:0%22	http://web-cdn.mironline.co.kr/mir2/2013_grand/contents/bg_itembox.gif	C:/Users/johne/Desktop/TestHTTRACK/ddddd/web-cdn.mironline.co.kr/mir2/2013_grand/contents/bg_itembox.gif	(from https://mir2.mironline.co.kr/sitelib/main.css)
